"quote","attribution"
"Jedes, auch das verächtlichste Thier, sobald es mir als aufmerksame liebende Mutter erscheint, ist mir gleich so achtungswürdig.","Johann Jakob Engel, Der Bienenkorb. Aus: Schriften, Erster Band: Der Philosoph für die Welt. 1. Theil. Berlin: Myliussisch, 1801. S. 223. Google Books"
"Man möchte wahrlich sagen: die Menschen sind die Teufel der Erde, und die Tiere die geplagten Seelen.","Arthur Schopenhauer, Ueber Reglion"
"Mitleid mit den Thieren hängt mit der Güte des Charakters so genau zusammen, daß man zuversichtlich behaupten darf, wer gegen Thiere grausam ist, könne kein guter Mensch seyn.","Arthur Schopenhauer, Grundlage der Moral, §19, Bestätigung des dargelegten Fundaments der Moral"
"Tiere fressen, Menschen essen, aber nur der Mann von Geist weiß, wie man isst.","Jean Anthelme Brillat-Savarin, Physiologie des Geschmacks"
"Unsere Zivilisation befindet sich in einem Zwischenstadium; nicht mehr das vollständig vom Instinkt geleitete Tier, noch nicht der vollständig von der Vernunft geleitete Mensch.","Theodore Dreiser, Sister Carrie, Kapitel 8"
"Was bringt uns dazu, eine Seele anzunehmen? Warum nennen wir ein Tier beseelt, die Pflanze nicht?","Henrich Steffens, Über die wissenschaftliche Behandlung der Psychologie"
"Was für ein grobes Tier ist der Mensch! Alles // was die Natur gutes tut entstellt er, // sie macht eine Sache einfach und rein // und er mit seinen Händen wandelt sie um. ","Giorgio Baffo, aus Poesie, Seite 186"
"Wenn man ein Dickicht verbrennt um zu jagen, bekommt man auch Tiere, aber im nächsten Jahr sind keine Tiere mehr da.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 188"
"Wenn sich die Giraffen recken, // Hochlaub sucht die spitze Zunge, // Das ihnen so schmeckt, wie junge // Frühkartoffeln mit Butter mir schmecken.","Joachim Ringelnatz, aus Giraffen im Zoo"
"Wenn Tiere laut Tierschutzgesetz unsere Mitgeschöpfe sind, wird es endlich Zeit, dass wir sie auch so behandeln.","Gisela Bulla, european-vegetarian.org"
"Wie eine Nation durchschnittlich die Thiere behandelt, ist ein Hauptmaßstab ihres Humanitätswerths.","David Friedrich Strauß, Der alte und der neue Glaube, IV: Wie ordnen wir unser Leben? Leipzig: Hirzel, 1872. S. 243. Google Books-USA* gemeint ist der Bürgerstand"
"Wir wollen Schluss machen mit der Versklavung der Tiere. Sie besitzen ein ebenso genuines Lebensrecht wie wir.","Gisela Bulla, european-vegetarian.org"
"Zum Lachen braucht es immer ein wenig Geist. Das Tier lacht nicht.","Gottfried Keller, Das Sinngedicht. 10. Kapitel"
"Das Tier, das der Leopard nicht fressen konnte, verspeist auch die Katze nicht.","Aus Afrika, Sprichwort der Thsi"
"Einem herumschweifenden Jäger begegnet ein herumschweifendes Tier.","Aus Afrika, Sprichwort der Ewe"
"Tiere verständigen sich über das Riechen, Menschen über die Worte.","Aus der Türkei"
