"quote","attribution"
"Mein Herr Bruder, da ich inmitten meiner Truppen nicht sterben konnte, bleibt mir nichts, als meinen Degen in die Hände Ew. Majestät zu legen. Ich bin Ew. Majestät geneigter Bruder Napoleon","Napoléon III., Kapitulationserklärung an König Wilhelm I. nach der Niederlage bei Sedan am 2. September 1870, aus:  Heinz Rieder, Napoleon III. Abenteurer und Imperator, Casimir Katz Verlag 2006, ISBN 3-938047-16-X, S. 316''"
"Nicht bloß die Proletarier bilden den vierten Stand, die Besitzlosen, die von der Hand zum Mund leben, die Heloten des Kapitals, die beseelten Werkzeuge, welche als Rad, Walze, Kurbel von Fleisch und Blut neben den eisernen Rädern, Walzen und Kurbeln unlösbar und unerlösbar in den Mechanismus unserer märchenhaften Maschinenwelt eingekeilt sind: Sie alle machen nur ein Glied und gerade das bewusstlosere des vierten Standes aus.","Wilhelm Heinrich Riehl, Der vierte Stand"
"Romane schließen damit, dass Held und Heldin heiraten. Damit müsste man anfangen, aufhören aber damit, dass sie sich wieder trennen, das heißt befreien. Denn das Leben von Menschen so beschreiben, dass man mit der Schilderung der Hochzeit abbricht, ist nicht anders, als beschriebe man die Reise eines Mannes und bräche den Bericht an der Stelle ab, wo er Räubern in die Hände fällt.","Leo Tolstoi, Tagebücher (1894)"
"Verloren ist das, was nicht dort ist, wo es hingehört. Der Autoschlüssel, der nicht in der Handtasche, sondern im Müllbeutel liegt, ist verloren. Und der Mensch, der sich nicht in der Hand Gottes befindet, wo er hingehört, der ist eben verloren.","Theo Lehmann, »Verkaufen Sie auch Waschmittel? Aus meinem Fragekasten«, 3.Aufl. 2000; zitiert in „idea Spektrum“, Nr. 22, 31. Mai 2007, S. 22-23, idea.de"
"Was für ein grobes Tier ist der Mensch! Alles // was die Natur gutes tut entstellt er, // sie macht eine Sache einfach und rein // und er mit seinen Händen wandelt sie um. ","Giorgio Baffo, aus Poesie, Seite 186"
"Wenn ich dir etwas gebe, bettelst du umso mehr. Der Erste, der seine Hand auftut, ist schuld an deiner Gemeinheit, weil er dich zum Faulenzer machte.","Plutarch, Königs- und Feldherrnsprüche / ein Spartaner zu einem Bettler"
"Wer in der Wüste schmachtet, der lernt den Wert des Tropfens erkennen, der dem Dürstenden das Leben rettet. Und auf wem das Gewicht des Leides und der Sorge lastete, ohne dass eine Hand sich helfend ihm entgegenstreckte der weiß, wie köstlich die Liebe ist, nach der er sich vergebens sehnte.","Karl May, Durchs wilde Kurdistan, 1892, S. 633"
"Wie hurtig schwamm nunmehr die Schöne // Dem Ufer zu! Wie schön sang sie, wie zauberisch! // Er reicht' ihr seine Hand. »Komm, göttliche Sirene!« - // Doch welch Entsetzen! Seine Schöne, // Sein Liebling, war halb Mensch, halb Fisch.","Christian Fürchtegott Gellert, Der Schäfer und die Sirene"
"Wir sind heute so vorsichtig geworden, dass wir für den anderen nur eine Handprothese ins Feuer legen.","Gerhard Uhlenbruck, Kein Blatt vor den Mund nehmen, S. 77, Hrsg. Prof. Wolfgang Mieder, Ralf Reglin Verlag Köln, Ausgabe 2005, ISBN 3-930620-25-1"
"Zwei Hände können sich wohl fassen, aber doch nicht in einander verwachsen. So Individualität zu Individualität.","Friedrich Hebbel, Sämtliche Werke: Tagebücher, 1. Band. 1848 (1839). Hist.-krit. Ausgabe besorgt von Richard Maria Werner. Zweite Abteilung. Neue Subskriptions-Ausgabe, 3. unv. Auflage. Berlin: Behr, 1905. S. 415. Google Books-USA*"
"Zweig geworden, // auf deiner Hüfte blüht // meine Hand.","Salvatore Quasimodo, aus Ed è subito sera"
"Besser fünf in der Hand als zehn und darauf warten müssen.","Aus Griechenland"
"Dafür lege ich meine Hand ins Feuer.","Aus Deutschland"
"Die Hand greift nach dem, was das Auge gesehen hat."," Sprichwort der Ewe, (Stamm in Ghana, Benin und Togo)"
"Eine Hand wäscht die andere.","Aus Griechenland"
"Mit einer Hand kann man nicht klatschen.","Aus Indien"
"Lieber den Spatz in der Hand als die Taube auf dem Dach.","Aus Deutschland"
"Alles, was dir vor die Hände kommt, es zu tun mit deiner Kraft, das tu; denn bei den Toten, zu denen du fährst, gibt es weder Tun noch Denken, weder Erkenntnis noch Weisheit.","Prediger Salomo 9,10"
"Nähme ich Flügel der Morgenröte und bliebe am äußersten Meer, so würde mich doch deine Hand daselbst führen und deine Rechte mich halten.","König David in Psalm 139,9+10"
"Hand drauf.","Werbespruch, Hornbach"
